obstime,tempr,ap,ws,wd,rh
28-01-2012 12:00:00 PM,-0.33,982.0,4.51,155.95,34.24
28-01-2012 01:00:00 PM,-0.44,982.02,4.19,149.7,38.07
28-01-2012 02:00:00 PM,0.02,981.18,4.06,149.46,40.88
28-01-2012 03:00:00 PM,-0.15,980.6,2.95,118.61,43.44
28-01-2012 04:00:00 PM,0.06,979.63,3.14,134.17,44.14
28-01-2012 05:00:00 PM,-0.01,978.77,5.26,162.08,44.95
28-01-2012 06:00:00 PM,-0.45,977.67,5.99,161.67,45.08
28-01-2012 07:00:00 PM,-1.47,976.78,6.91,173.04,46.45
28-01-2012 08:00:00 PM,-2.64,976.0,7.73,176.25,48.3
28-01-2012 09:00:00 PM,-3.2,975.4,8.13,177.1,46.03
28-01-2012 10:00:00 PM,-3.51,974.62,8.74,174.12,42.65
28-01-2012 11:00:00 PM,-3.61,974.0,9.09,172.05,40.92
29-01-2012 12:00:00 AM,-3.85,973.07,8.58,174.54,42.39
29-01-2012 01:00:00 AM,-4.44,972.28,10.07,175.72,44.62
29-01-2012 02:00:00 AM,-5.11,971.15,10.5,176.11,46.86
29-01-2012 03:00:00 AM,-5.21,970.12,10.67,176.78,46.36
29-01-2012 04:00:00 AM,-5.06,969.47,10.84,175.4,46.38
29-01-2012 05:00:00 AM,-4.98,968.53,12.45,174.45,47.41
29-01-2012 06:00:00 AM,-4.43,967.93,12.73,174.06,50.49
29-01-2012 07:00:00 AM,-3.88,967.0,12.34,174.15,54.35
29-01-2012 08:00:00 AM,-3.3,966.03,13.3,173.74,59.42
29-01-2012 09:00:00 AM,-2.96,965.0,14.36,173.37,60.29
29-01-2012 10:00:00 AM,-2.3,964.17,14.65,172.17,58.76
29-01-2012 11:00:00 AM,-1.79,964.0,14.04,171.66,62.4
29-01-2012 12:00:00 PM,-1.13,963.8,12.39,173.87,61.14
29-01-2012 01:00:00 PM,0.52,963.0,11.53,170.17,47.68
29-01-2012 02:00:00 PM,1.12,962.47,12.29,168.99,43.8
29-01-2012 03:00:00 PM,1.12,962.23,12.74,169.97,43.46
29-01-2012 04:00:00 PM,0.99,962.52,13.33,166.65,45.29
29-01-2012 05:00:00 PM,0.63,962.87,12.43,168.6,49.65
29-01-2012 06:00:00 PM,0.65,963.0,10.36,164.09,49.3
29-01-2012 07:00:00 PM,0.23,963.42,8.41,155.93,50.33
29-01-2012 08:00:00 PM,-0.21,964.0,8.78,155.27,54.02
29-01-2012 09:00:00 PM,-0.58,964.52,8.24,151.6,55.87
29-01-2012 10:00:00 PM,-0.68,965.0,7.3,151.84,54.91
29-01-2012 11:00:00 PM,-0.82,965.17,7.0,158.68,55.59
30-01-2012 12:00:00 AM,-0.94,966.0,7.09,162.16,56.27
30-01-2012 01:00:00 AM,-1.11,966.95,6.98,161.47,56.36
30-01-2012 02:00:00 AM,-1.26,967.78,7.09,152.99,55.9
30-01-2012 03:00:00 AM,-1.24,968.62,7.3,153.65,54.92
30-01-2012 04:00:00 AM,-1.44,969.1,9.34,160.11,57.38
30-01-2012 05:00:00 AM,-1.41,970.18,8.38,158.53,60.34
30-01-2012 06:00:00 AM,-1.15,971.25,7.01,155.36,58.59
30-01-2012 07:00:00 AM,-0.99,972.1,6.54,155.7,58.36
30-01-2012 08:00:00 AM,-0.76,973.07,6.08,157.17,57.77
30-01-2012 09:00:00 AM,-0.79,974.0,7.67,157.74,58.59
30-01-2012 10:00:00 AM,-0.67,975.0,6.91,161.13,62.65
30-01-2012 11:00:00 AM,-0.28,975.78,5.46,158.78,59.63
30-01-2012 12:00:00 PM,-0.15,976.45,4.24,158.07,59.45
30-01-2012 01:00:00 PM,0.19,977.1,3.97,164.55,57.87
30-01-2012 02:00:00 PM,0.46,978.0,3.42,173.07,59.3
30-01-2012 03:00:00 PM,0.82,978.5,2.94,175.18,59.31
30-01-2012 04:00:00 PM,1.21,979.02,2.53,152.8,52.82
30-01-2012 05:00:00 PM,1.17,979.88,1.62,138.39,53.73
30-01-2012 06:00:00 PM,0.87,980.38,1.63,168.62,58.53
30-01-2012 07:00:00 PM,0.69,981.0,1.59,177.54,58.45
30-01-2012 08:00:00 PM,0.41,981.13,1.16,185.34,60.17
30-01-2012 09:00:00 PM,0.18,981.75,1.55,171.88,62.63
30-01-2012 10:00:00 PM,-0.08,982.0,1.81,162.19,64.93
30-01-2012 11:00:00 PM,-0.28,982.4,1.63,174.46,66.76
31-01-2012 12:00:00 AM,-0.34,983.0,2.4,184.48,63.81
31-01-2012 01:00:00 AM,-0.59,983.3,4.42,178.48,56.28
31-01-2012 02:00:00 AM,-0.83,984.0,6.09,174.49,51.33
31-01-2012 03:00:00 AM,-1.07,984.0,5.9,172.09,49.4
31-01-2012 04:00:00 AM,-1.31,984.68,5.3,173.79,48.79
