obstime,tempr,ap,ws,wd,rh
01-01-2012 12:00:00 AM,-0.6,994.0,20.5,-999,-999
01-01-2012 01:00:00 AM,-0.5,993.6,20.7,-999,-999
01-01-2012 02:00:00 AM,-1.0,993.3,26.1,-999,-999
01-01-2012 03:00:00 AM,0.0,993.0,19.2,-999,-999
01-01-2012 04:00:00 AM,0.0,992.8,26.7,-999,-999
01-01-2012 05:00:00 AM,-0.4,992.5,29.4,-999,-999
01-01-2012 06:00:00 AM,-0.3,992.4,28.1,-999,-999
01-01-2012 07:00:00 AM,0.4,992.1,26.1,-999,-999
01-01-2012 08:00:00 AM,0.3,991.8,27.1,-999,-999
01-01-2012 09:00:00 AM,0.8,991.6,25.0,-999,-999
01-01-2012 10:00:00 AM,0.9,991.3,26.4,-999,-999
01-01-2012 11:00:00 AM,1.4,990.6,26.5,-999,-999
01-01-2012 12:00:00 PM,1.9,990.1,22.0,-999,-999
01-01-2012 01:00:00 PM,2.5,989.6,22.5,-999,-999
01-01-2012 02:00:00 PM,2.9,988.9,21.8,-999,-999
01-01-2012 03:00:00 PM,2.9,988.5,19.8,-999,-999
01-01-2012 04:00:00 PM,2.6,988.1,20.8,-999,-999
01-01-2012 05:00:00 PM,2.7,987.4,18.0,-999,-999
01-01-2012 06:00:00 PM,2.3,987.2,13.0,-999,-999
01-01-2012 07:00:00 PM,1.5,986.9,17.0,-999,-999
01-01-2012 08:00:00 PM,1.4,986.8,17.1,-999,-999
01-01-2012 09:00:00 PM,0.8,986.5,16.2,-999,-999
01-01-2012 10:00:00 PM,0.1,985.9,18.0,-999,-999
01-01-2012 11:00:00 PM,-0.9,985.3,21.6,-999,-999
02-01-2012 12:00:00 AM,-0.9,984.4,23.1,-999,-999
02-01-2012 01:00:00 AM,-1.7,983.8,21.4,-999,-999
02-01-2012 02:00:00 AM,-2.9,983.3,22.3,-999,-999
02-01-2012 03:00:00 AM,-2.4,983.0,22.0,-999,-999
02-01-2012 04:00:00 AM,-2.3,982.8,21.8,-999,-999
02-01-2012 05:00:00 AM,-2.2,982.6,20.2,-999,-999
02-01-2012 06:00:00 AM,-1.6,982.6,22.6,-999,-999
02-01-2012 07:00:00 AM,-0.8,982.5,23.0,-999,-999
02-01-2012 08:00:00 AM,0.0,983.0,20.6,-999,-999
02-01-2012 09:00:00 AM,0.4,983.4,17.5,-999,-999
02-01-2012 10:00:00 AM,1.3,983.5,14.6,-999,-999
02-01-2012 11:00:00 AM,3.0,983.2,15.6,-999,-999
02-01-2012 12:00:00 PM,4.2,983.0,12.8,-999,-999
02-01-2012 01:00:00 PM,4.1,982.8,11.5,-999,-999
02-01-2012 02:00:00 PM,2.8,982.7,10.1,-999,-999
02-01-2012 03:00:00 PM,2.0,982.5,13.1,-999,-999
02-01-2012 04:00:00 PM,1.3,982.5,10.2,-999,-999
02-01-2012 05:00:00 PM,1.0,982.7,12.0,-999,-999
02-01-2012 06:00:00 PM,0.5,982.7,9.6,-999,-999
02-01-2012 07:00:00 PM,0.3,982.8,8.5,-999,-999
02-01-2012 08:00:00 PM,-0.3,982.9,10.1,-999,-999
